time,canopy.ca_conc,canopy.lai,leaf.d13c,apar,A,d13c,Acg_lim,Ajg_lim,Apg_lim,cb,ci,cc,gb,gs,gi,g,rd,m,G_dir,k_dir,k_diff,k_dirprime,k_diffprime,k_vcmax,lscattering,alb_dir,alb_diff,alb_dir_can,alb_diff_can
        1881,      290.24,           3,f_d13c_classical,    690.1394,    15.44958,    20.89254,           0,    0.000000,           0,           0,    23.19981,    23.19981,         Inf,   0.4026126,         Inf,   0.4026126,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1882,      290.51,           3,f_d13c_classical,    690.1394,    15.46379,    20.89377,           0,    0.000000,           0,           0,    23.22140,    23.22140,         Inf,   0.4026085,         Inf,   0.4026085,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1883,      290.80,           3,f_d13c_classical,    690.1394,    15.47904,    20.89510,           0,    0.000000,           0,           0,    23.24458,    23.24458,         Inf,   0.4026040,         Inf,   0.4026040,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1884,      291.13,           3,f_d13c_classical,    690.1394,    15.49638,    20.89660,           0,    0.000000,           0,           0,    23.27097,    23.27097,         Inf,   0.4025987,         Inf,   0.4025987,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1885,      291.48,           3,f_d13c_classical,    690.1394,    15.51476,    20.89820,           0,    0.000000,           0,           0,    23.29895,    23.29895,         Inf,   0.4025928,         Inf,   0.4025928,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1886,      291.86,           3,f_d13c_classical,    690.1394,    15.53471,    20.89992,           0,    0.000000,           0,           0,    23.32934,    23.32934,         Inf,   0.4025861,         Inf,   0.4025861,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1887,      292.25,           3,f_d13c_classical,    690.1394,    15.55517,    20.90169,           0,    0.000000,           0,           0,    23.36052,    23.36052,         Inf,   0.4025790,         Inf,   0.4025790,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1888,      292.65,           3,f_d13c_classical,    690.1394,    15.57614,    20.90349,           0,    0.000000,           0,           0,    23.39250,    23.39250,         Inf,   0.4025713,         Inf,   0.4025713,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1889,      293.05,           3,f_d13c_classical,    690.1394,    15.59710,    20.90530,           0,    0.000000,           0,           0,    23.42449,    23.42449,         Inf,   0.4025634,         Inf,   0.4025634,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1890,      293.46,           3,f_d13c_classical,    690.1394,    15.61857,    20.90714,           0,    0.000000,           0,           0,    23.45727,    23.45727,         Inf,   0.4025549,         Inf,   0.4025549,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1891,      293.86,           3,f_d13c_classical,    690.1394,    15.63950,    20.90893,           0,    0.000000,           0,           0,    23.48926,    23.48926,         Inf,   0.4025464,         Inf,   0.4025464,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1892,      294.25,           3,f_d13c_classical,    690.1394,    15.65989,    20.91068,           0,    0.000000,           0,           0,    23.52044,    23.52044,         Inf,   0.4025377,         Inf,   0.4025377,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1893,      294.62,           3,f_d13c_classical,    690.1394,    15.67922,    20.91233,           0,    0.000000,           0,           0,    23.55003,    23.55003,         Inf,   0.4025292,         Inf,   0.4025292,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1894,      294.98,           3,f_d13c_classical,    690.1394,    15.69802,    20.91393,           0,    0.000000,           0,           0,    23.57882,    23.57882,         Inf,   0.4025207,         Inf,   0.4025207,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1895,      295.30,           3,f_d13c_classical,    690.1394,    15.71473,    20.91535,           0,    0.000000,           0,           0,    23.60441,    23.60441,         Inf,   0.4025130,         Inf,   0.4025130,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1896,      295.60,           3,f_d13c_classical,    690.1394,    15.73038,    20.91668,           0,    0.000000,           0,           0,    23.62840,    23.62840,         Inf,   0.4025055,         Inf,   0.4025055,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1897,      295.86,           3,f_d13c_classical,    690.1394,    15.74393,    20.91783,           0,    0.000000,           0,           0,    23.64919,    23.64919,         Inf,   0.4024989,         Inf,   0.4024989,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1898,      296.11,           3,f_d13c_classical,    690.1394,    15.75696,    20.91893,           0,    0.000000,           0,           0,    23.66918,    23.66918,         Inf,   0.4024925,         Inf,   0.4024925,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1899,      296.34,           3,f_d13c_classical,    690.1394,    15.76895,    20.91995,           0,    0.000000,           0,           0,    23.68757,    23.68757,         Inf,   0.4024865,         Inf,   0.4024865,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1900,      296.56,           3,f_d13c_classical,    690.1394,    15.78041,    20.92092,           0,    0.000000,           0,           0,    23.70516,    23.70516,         Inf,   0.4024806,         Inf,   0.4024806,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1901,      296.80,           3,f_d13c_classical,    690.1394,    15.79290,    20.92197,           0,    0.000000,           0,           0,    23.72436,    23.72436,         Inf,   0.4024741,         Inf,   0.4024741,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1902,      297.04,           3,f_d13c_classical,    690.1394,    15.80539,    20.92303,           0,    0.000000,           0,           0,    23.74355,    23.74355,         Inf,   0.4024675,         Inf,   0.4024675,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1903,      297.29,           3,f_d13c_classical,    690.1394,    15.81840,    20.92412,           0,    0.000000,           0,           0,    23.76354,    23.76354,         Inf,   0.4024605,         Inf,   0.4024605,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1904,      297.57,           3,f_d13c_classical,    690.1394,    15.83296,    20.92535,           0,    0.000000,           0,           0,    23.78594,    23.78594,         Inf,   0.4024525,         Inf,   0.4024525,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1905,      297.87,           3,f_d13c_classical,    690.1394,    15.84855,    20.92666,           0,    0.000000,           0,           0,    23.80993,    23.80993,         Inf,   0.4024438,         Inf,   0.4024438,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1906,      298.17,           3,f_d13c_classical,    690.1394,    15.86413,    20.92797,           0,    0.000000,           0,           0,    23.83392,    23.83392,         Inf,   0.4024349,         Inf,   0.4024349,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1907,      298.49,           3,f_d13c_classical,    690.1394,    15.88075,    20.92936,           0,    0.000000,           0,           0,    23.85951,    23.85951,         Inf,   0.4024253,         Inf,   0.4024253,    1.184192,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
