time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1964,      319.06,f_d13c_lin,f_gstar_f1980,   10.624553,    13.05508,    17.04724,    28.69353,    25.24330,    25.24330,    32.32875,        0.75,           2,         Inf,   0.2430968,         Inf,   0.2430968,    24.38928
        1965,      319.46,f_d13c_lin,f_gstar_f1980,   10.637199,    13.06717,    17.05161,    28.68822,    25.27496,    25.27496,    32.36928,        0.75,           2,         Inf,   0.2430821,         Inf,   0.2430821,    24.38929
        1966,      320.78,f_d13c_lin,f_gstar_f1980,   10.678875,    13.10704,    17.06599,    28.67080,    25.37946,    25.37946,    32.50303,        0.75,           2,         Inf,   0.2430324,         Inf,   0.2430324,    24.38934
        1967,      321.53,f_d13c_lin,f_gstar_f1980,   10.702515,    13.12965,    17.07411,    28.66098,    25.43883,    25.43883,    32.57903,        0.75,           2,         Inf,   0.2430035,         Inf,   0.2430035,    24.38937
        1968,      322.39,f_d13c_lin,f_gstar_f1980,   10.729587,    13.15554,    17.08339,    28.64978,    25.50692,    25.50692,    32.66617,        0.75,           2,         Inf,   0.2429697,         Inf,   0.2429697,    24.38940
        1969,      323.95,f_d13c_lin,f_gstar_f1980,   10.778599,    13.20242,    17.10012,    28.62964,    25.63042,    25.63042,    32.82423,        0.75,           2,         Inf,   0.2429069,         Inf,   0.2429069,    24.38946
        1970,      324.98,f_d13c_lin,f_gstar_f1980,   10.810891,    13.23331,    17.11110,    28.61647,    25.71197,    25.71197,    32.92860,        0.75,           2,         Inf,   0.2428643,         Inf,   0.2428643,    24.38951
        1971,      325.60,f_d13c_lin,f_gstar_f1980,   10.830304,    13.25188,    17.11768,    28.60858,    25.76106,    25.76106,    32.99142,        0.75,           2,         Inf,   0.2428382,         Inf,   0.2428382,    24.38953
        1972,      326.71,f_d13c_lin,f_gstar_f1980,   10.865010,    13.28507,    17.12941,    28.59455,    25.84894,    25.84894,    33.10389,        0.75,           2,         Inf,   0.2427908,         Inf,   0.2427908,    24.38958
        1973,      328.91,f_d13c_lin,f_gstar_f1980,   10.933674,    13.35069,    17.15248,    28.56705,    26.02312,    26.02312,    33.32681,        0.75,           2,         Inf,   0.2426950,         Inf,   0.2426950,    24.38967
        1974,      329.39,f_d13c_lin,f_gstar_f1980,   10.948610,    13.36498,    17.15748,    28.56111,    26.06113,    26.06113,    33.37544,        0.75,           2,         Inf,   0.2426733,         Inf,   0.2426733,    24.38970
        1975,      330.24,f_d13c_lin,f_gstar_f1980,   10.975031,    13.39025,    17.16630,    28.55064,    26.12843,    26.12843,    33.46157,        0.75,           2,         Inf,   0.2426345,         Inf,   0.2426345,    24.38973
        1976,      331.14,f_d13c_lin,f_gstar_f1980,   11.002966,    13.41697,    17.17561,    28.53961,    26.19969,    26.19969,    33.55276,        0.75,           2,         Inf,   0.2425928,         Inf,   0.2425928,    24.38978
